C,Si,Mn,P,S,Cu,Al,N2,Nb,Ti,Total,UTS
0.137,0.177,0.9,0.008,0.007,0.035,0.036,0.057,0.032,0.003,1.392,566
0.148,0.213,0.921,0.009,0.003,0.008,0.033,0.049,0.034,0.002,1.42,575
0.137,0.194,0.896,0.007,0.005,0.025,0.031,0.045,0.029,0.002,1.371,602
0.135,0.207,0.895,0.007,0.005,0.015,0.033,0.034,0.03,0.002,1.363,549
0.146,0.182,0.912,0.01,0.004,0.008,0.029,0.035,0.032,0.002,1.36,587
0.144,0.185,0.883,0.011,0.004,0.01,0.03,0.039,0.032,0.002,1.34,569
0.149,0.206,0.903,0.007,0.004,0.009,0.035,0.039,0.031,0.003,1.386,559
0.141,0.227,0.903,0.007,0.005,0.026,0.031,0.039,0.036,0.003,1.418,562
0.142,0.209,0.867,0.011,0.006,0.012,0.03,0.047,0.03,0.002,1.356,576
0.151,0.22,1.067,0.01,0.008,0.032,0.037,0.038,0.038,0.003,1.604,580
0.14,0.184,0.884,0.009,0.006,0.024,0.035,0.038,0.038,0.003,1.361,570
0.14,0.184,0.884,0.009,0.006,0.024,0.035,0.038,0.038,0.003,1.361,570
0.137,0.205,0.89,0.008,0.004,0.014,0.035,0.031,0.032,0.003,1.359,574
0.14,0.157,0.6,0.011,0.002,0.024,0.036,0.053,0.002,0.002,1.027,443
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
0.133,0.19,0.556,0.008,0.004,0.025,0.035,0.05,0.003,0.002,1.006,434
0.133,0.19,0.556,0.008,0.004,0.025,0.035,0.05,0.003,0.002,1.006,434
0.133,0.19,0.556,0.008,0.004,0.025,0.035,0.05,0.003,0.002,1.006,434
0.133,0.19,0.556,0.008,0.004,0.025,0.035,0.05,0.003,0.002,1.006,434
0.133,0.19,0.556,0.008,0.004,0.025,0.035,0.05,0.003,0.002,1.006,434
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.152,0.173,0.57,0.01,0.004,0.016,0.031,0.055,0.002,0.002,1.015,419
0.152,0.173,0.57,0.01,0.004,0.016,0.031,0.055,0.002,0.002,1.015,419
0.152,0.173,0.57,0.01,0.004,0.016,0.031,0.055,0.002,0.002,1.015,419
0.149,0.186,0.545,0.006,0.004,0.01,0.052,0.05,0.003,0.002,1.007,445
0.149,0.186,0.545,0.006,0.004,0.01,0.052,0.05,0.003,0.002,1.007,445
0.149,0.186,0.545,0.006,0.004,0.01,0.052,0.05,0.003,0.002,1.007,445
0.149,0.186,0.545,0.006,0.004,0.01,0.052,0.05,0.003,0.002,1.007,445
0.149,0.186,0.545,0.006,0.004,0.01,0.052,0.05,0.003,0.002,1.007,445
0.149,0.186,0.545,0.006,0.004,0.01,0.052,0.05,0.003,0.002,1.007,445
0.149,0.186,0.545,0.006,0.004,0.01,0.052,0.05,0.003,0.002,1.007,445
0.135,0.201,0.536,0.008,0.004,0.03,0.032,0.049,0.002,0.002,0.999,439
0.135,0.201,0.536,0.008,0.004,0.03,0.032,0.049,0.002,0.002,0.999,439
0.135,0.201,0.536,0.008,0.004,0.03,0.032,0.049,0.002,0.002,0.999,439
0.135,0.201,0.536,0.008,0.004,0.03,0.032,0.049,0.002,0.002,0.999,439
0.135,0.201,0.536,0.008,0.004,0.03,0.032,0.049,0.002,0.002,0.999,439
0.129,0.177,0.538,0.006,0.002,0.017,0.03,0.053,0.001,0.002,0.955,442
0.143,0.204,0.901,0.006,0.007,0.027,0.036,0.046,0.035,0.002,1.407,574
0.14,0.213,0.907,0.008,0.005,0.035,0.032,0.039,0.029,0.003,1.411,577
0.148,0.211,0.881,0.01,0.005,0.021,0.035,0.048,0.039,0.003,1.401,560
0.132,0.177,0.884,0.009,0.009,0.034,0.036,0.038,0.034,0.002,1.355,578
0.137,0.205,0.89,0.008,0.004,0.014,0.035,0.031,0.032,0.003,1.359,574
0.137,0.205,0.89,0.008,0.004,0.014,0.035,0.031,0.032,0.003,1.359,574
0.143,0.205,0.92,0.008,0.005,0.011,0.038,0.031,0.031,0.003,1.395,574
0.143,0.205,0.92,0.008,0.005,0.011,0.038,0.031,0.031,0.003,1.395,574
0.135,0.207,0.895,0.007,0.005,0.015,0.033,0.034,0.03,0.002,1.363,549
0.143,0.205,0.92,0.008,0.005,0.011,0.038,0.031,0.031,0.003,1.395,574
0.142,0.222,0.897,0.007,0.005,0.012,0.031,0.034,0.028,0.003,1.381,568
0.151,0.22,1.067,0.01,0.008,0.032,0.037,0.038,0.038,0.003,1.604,580
0.14,0.184,0.884,0.009,0.006,0.024,0.035,0.038,0.038,0.003,1.361,570
0.048,0.01,0.204,0.007,0.003,0.012,0.043,0.033,0.002,0.002,0.364,363
0.054,0.011,0.271,0.008,0.005,0.028,0.037,0.034,0.001,0.002,0.451,357
0.054,0.011,0.271,0.008,0.005,0.028,0.037,0.034,0.001,0.002,0.451,357
0.048,0.012,0.221,0.007,0.005,0.02,0.023,0.025,0.002,0.002,0.365,355
0.069,0.011,0.207,0.007,0.001,0.007,0.045,0.02,0.002,0.002,0.371,376
0.04,0.006,0.202,0.004,0.006,0.028,0.047,0.037,0.001,0.001,0.372,343
0.16,0.016,1.026,0.011,0.006,0.014,0.039,0.027,0.003,0.002,1.304,460
0.16,0.016,1.026,0.011,0.006,0.014,0.039,0.027,0.003,0.002,1.304,460
0.145,0.203,0.891,0.006,0.003,0.029,0.029,0.034,0.021,0.002,1.363,561
0.144,0.201,0.934,0.007,0.003,0.017,0.029,0.039,0.019,0.002,1.395,569
0.145,0.203,0.891,0.006,0.003,0.029,0.029,0.034,0.021,0.002,1.363,561
0.144,0.201,0.937,0.007,0.004,0.023,0.034,0.044,0.022,0.002,1.418,557
0.144,0.17,0.897,0.013,0.006,0.005,0.027,0.031,0.022,0.002,1.317,557
0.142,0.17,0.978,0.01,0.005,0.007,0.033,0.039,0.022,0.002,1.408,561
0.143,0.178,0.938,0.007,0.006,0.007,0.036,0.029,0.019,0.002,1.365,548
0.144,0.201,0.937,0.007,0.004,0.023,0.034,0.044,0.022,0.002,1.418,557
0.142,0.17,0.978,0.01,0.005,0.007,0.033,0.039,0.022,0.002,1.408,561
0.143,0.178,0.938,0.007,0.006,0.007,0.036,0.029,0.019,0.002,1.365,548
0.144,0.17,0.897,0.013,0.006,0.005,0.027,0.031,0.022,0.002,1.317,557
0.041,0.006,0.214,0.011,0.006,0.013,0.048,0.029,0.001,0.001,0.37,347
0.061,0.01,0.239,0.005,0.003,0.023,0.05,0.031,0.003,0.001,0.426,353
0.045,0.012,0.219,0.006,0.004,0.014,0.047,0.044,0.001,0.002,0.394,347
0.055,0.018,0.225,0.005,0.003,0.032,0.047,0.034,0.001,0.002,0.422,359
0.055,0.018,0.225,0.005,0.003,0.032,0.047,0.034,0.001,0.002,0.422,359
0.06,0.017,0.22,0.006,0.004,0.022,0.045,0.025,0.002,0.001,0.402,371
0.045,0.012,0.219,0.006,0.004,0.014,0.047,0.044,0.001,0.002,0.394,347
0.057,0.008,0.232,0.006,0.004,0.023,0.045,0.033,0.001,0.001,0.41,351
0.145,0.182,0.919,0.005,0.004,0.027,0.029,0.041,0.021,0.002,1.375,566
0.145,0.182,0.919,0.005,0.004,0.027,0.029,0.041,0.021,0.002,1.375,566
0.145,0.203,0.891,0.006,0.003,0.029,0.029,0.034,0.021,0.002,1.363,561
0.145,0.203,0.891,0.006,0.003,0.029,0.029,0.034,0.021,0.002,1.363,561
0.145,0.182,0.919,0.005,0.004,0.027,0.029,0.041,0.021,0.002,1.375,566
0.145,0.203,0.891,0.006,0.003,0.029,0.029,0.034,0.021,0.002,1.363,561
0.145,0.182,0.919,0.005,0.004,0.027,0.029,0.041,0.021,0.002,1.375,566
0.145,0.203,0.891,0.006,0.003,0.029,0.029,0.034,0.021,0.002,1.363,561
0.145,0.203,0.891,0.006,0.003,0.029,0.029,0.034,0.021,0.002,1.363,561
0.137,0.173,0.926,0.004,0.002,0.014,0.025,0.031,0.021,0.002,1.335,561
0.137,0.173,0.926,0.004,0.002,0.014,0.025,0.031,0.021,0.002,1.335,561
0.137,0.173,0.926,0.004,0.002,0.014,0.025,0.031,0.021,0.002,1.335,561
0.137,0.173,0.926,0.004,0.002,0.014,0.025,0.031,0.021,0.002,1.335,561
0.158,0.016,0.957,0.013,0.007,0.026,0.045,0.029,0.036,0.003,1.29,585
0.171,0.187,1.058,0.01,0.005,0.021,0.034,0.03,0.036,0.003,1.555,574
0.166,0.198,0.933,0.007,0.003,0.011,0.036,0.059,0.056,0.003,1.472,609
0.143,0.172,0.93,0.011,0.004,0.011,0.035,0.037,0.037,0.003,1.383,583
0.046,0.008,0.202,0.006,0.009,0.026,0.041,0.036,0.001,0.001,0.376,411
0.04,0.006,0.202,0.004,0.006,0.028,0.047,0.037,0.001,0.001,0.372,419
0.04,0.006,0.202,0.004,0.006,0.028,0.047,0.037,0.001,0.001,0.372,419
0.04,0.006,0.202,0.004,0.006,0.028,0.047,0.037,0.001,0.001,0.372,419
0.04,0.006,0.202,0.004,0.006,0.028,0.047,0.037,0.001,0.001,0.372,419
0.069,0.011,0.207,0.007,0.001,0.007,0.045,0.02,0.002,0.002,0.371,413
0.056,0.016,0.215,0.006,0.002,0.01,0.047,0.031,0.001,0.002,0.386,417
0.046,0.008,0.202,0.006,0.009,0.026,0.041,0.036,0.001,0.001,0.376,411
0.046,0.008,0.202,0.006,0.009,0.026,0.041,0.036,0.001,0.001,0.376,411
0.042,0.01,0.215,0.009,0.001,0.02,0.04,0.024,0.001,0.001,0.363,332
0.042,0.01,0.215,0.009,0.001,0.02,0.04,0.024,0.001,0.001,0.363,332
0.04,0.006,0.202,0.004,0.006,0.028,0.047,0.037,0.001,0.001,0.372,419
0.045,0.012,0.219,0.006,0.004,0.014,0.047,0.044,0.001,0.002,0.394,342
0.045,0.012,0.219,0.006,0.004,0.014,0.047,0.044,0.001,0.002,0.394,342
0.143,0.178,0.938,0.007,0.006,0.007,0.036,0.029,0.019,0.002,1.365,548
0.142,0.17,0.978,0.01,0.005,0.007,0.033,0.039,0.022,0.002,1.408,561
0.142,0.17,0.978,0.01,0.005,0.007,0.033,0.039,0.022,0.002,1.408,561
0.142,0.174,0.923,0.007,0.006,0.026,0.034,0.05,0.02,0.002,1.384,548
0.142,0.17,0.978,0.01,0.005,0.007,0.033,0.039,0.022,0.002,1.408,561
0.142,0.17,0.978,0.01,0.005,0.007,0.033,0.039,0.022,0.002,1.408,561
0.142,0.17,0.978,0.01,0.005,0.007,0.033,0.039,0.022,0.002,1.408,561
0.142,0.174,0.923,0.007,0.006,0.026,0.034,0.05,0.02,0.002,1.384,548
0.142,0.17,0.978,0.01,0.005,0.007,0.033,0.039,0.022,0.002,1.408,561
0.144,0.201,0.937,0.007,0.004,0.023,0.034,0.044,0.022,0.002,1.418,557
0.142,0.174,0.923,0.007,0.006,0.026,0.034,0.05,0.02,0.002,1.384,548
0.142,0.174,0.923,0.007,0.006,0.026,0.034,0.05,0.02,0.002,1.384,548
0.142,0.018,0.929,0.009,0.005,0.015,0.048,0.039,0.039,0.002,1.246,582
0.071,0.011,0.219,0.007,0.008,0.025,0.048,0.044,0.002,0.001,0.436,377
0.071,0.011,0.219,0.007,0.008,0.025,0.048,0.044,0.002,0.001,0.436,377
0.02,0.006,0.179,0.012,0.008,0.022,0.053,0.026,0.002,0.001,0.329,341
0.012,0.005,0.168,0.009,0.005,0.016,0.053,0.033,0.002,0.001,0.304,355
0.048,0.01,0.204,0.007,0.003,0.012,0.043,0.033,0.002,0.002,0.364,363
0.054,0.011,0.271,0.008,0.005,0.028,0.037,0.034,0.001,0.002,0.451,357
0.054,0.011,0.271,0.008,0.005,0.028,0.037,0.034,0.001,0.002,0.451,357
0.048,0.012,0.221,0.007,0.005,0.02,0.023,0.025,0.002,0.002,0.365,355
0.048,0.01,0.204,0.007,0.003,0.012,0.043,0.033,0.002,0.002,0.364,363
0.054,0.011,0.271,0.008,0.005,0.028,0.037,0.034,0.001,0.002,0.451,357
0.059,0.012,0.212,0.006,0.006,0.027,0.042,0.034,0.002,0.001,0.401,334
0.06,0.008,0.234,0.007,0.006,0.037,0.043,0.05,0.002,0.001,0.448,359
0.04,0.006,0.202,0.004,0.006,0.028,0.047,0.037,0.001,0.001,0.372,419
0.045,0.012,0.219,0.006,0.004,0.014,0.047,0.044,0.001,0.002,0.394,342
0.055,0.016,0.221,0.006,0.001,0.006,0.037,0.035,0.002,0.002,0.381,344
0.055,0.016,0.221,0.006,0.001,0.006,0.037,0.035,0.002,0.002,0.381,344
0.045,0.009,0.2,0.005,0.001,0.007,0.034,0.029,0.002,0.001,0.333,357
0.055,0.016,0.221,0.006,0.001,0.006,0.037,0.035,0.002,0.002,0.381,344
0.154,0.017,0.9,0.015,0.01,0.027,0.054,0.034,0.045,0.002,1.258,547
0.154,0.017,0.9,0.015,0.01,0.027,0.054,0.034,0.045,0.002,1.258,547
0.154,0.017,0.9,0.015,0.01,0.027,0.054,0.034,0.045,0.002,1.258,547
0.154,0.017,0.9,0.015,0.01,0.027,0.054,0.034,0.045,0.002,1.258,547
0.135,0.014,0.936,0.007,0.006,0.021,0.051,0.03,0.037,0.002,1.239,556
0.135,0.014,0.936,0.007,0.006,0.021,0.051,0.03,0.037,0.002,1.239,556
0.132,0.164,0.567,0.005,0.004,0.042,0.03,0.042,0.002,0.002,0.99,452
0.15,0.162,0.555,0.009,0.003,0.013,0.031,0.028,0.001,0.002,0.954,465
0.15,0.162,0.555,0.009,0.003,0.013,0.031,0.028,0.001,0.002,0.954,465
0.15,0.162,0.555,0.009,0.003,0.013,0.031,0.028,0.001,0.002,0.954,465
0.15,0.162,0.555,0.009,0.003,0.013,0.031,0.028,0.001,0.002,0.954,465
0.129,0.149,0.567,0.006,0.001,0.031,0.032,0.05,0.001,0.002,0.968,441
0.129,0.149,0.567,0.006,0.001,0.031,0.032,0.05,0.001,0.002,0.968,441
0.129,0.149,0.567,0.006,0.001,0.031,0.032,0.05,0.001,0.002,0.968,441
0.129,0.149,0.567,0.006,0.001,0.031,0.032,0.05,0.001,0.002,0.968,440
0.129,0.149,0.567,0.006,0.001,0.031,0.032,0.05,0.001,0.002,0.968,441
0.129,0.149,0.567,0.006,0.001,0.031,0.032,0.05,0.001,0.002,0.968,441
0.129,0.149,0.567,0.006,0.001,0.031,0.032,0.05,0.001,0.002,0.968,441
0.129,0.149,0.567,0.006,0.001,0.031,0.032,0.05,0.001,0.002,0.968,441
0.126,0.162,0.592,0.007,0.003,0.029,0.034,0.039,0.002,0.002,0.996,472
0.132,0.161,0.532,0.005,0.004,0.025,0.034,0.037,0.001,0.002,0.933,423
0.129,0.177,0.538,0.006,0.002,0.017,0.03,0.053,0.001,0.002,0.955,442
0.129,0.177,0.538,0.006,0.002,0.017,0.03,0.053,0.001,0.002,0.955,442
0.129,0.177,0.538,0.006,0.002,0.017,0.03,0.053,0.001,0.002,0.955,442
0.129,0.177,0.538,0.006,0.002,0.017,0.03,0.053,0.001,0.002,0.955,442
0.129,0.177,0.538,0.006,0.002,0.017,0.03,0.053,0.001,0.002,0.955,411
0.152,0.173,0.57,0.01,0.004,0.016,0.031,0.055,0.002,0.002,1.015,419
0.152,0.173,0.57,0.01,0.004,0.016,0.031,0.055,0.002,0.002,1.015,465
0.152,0.173,0.57,0.01,0.004,0.016,0.031,0.055,0.002,0.002,1.015,428
0.152,0.173,0.57,0.01,0.004,0.016,0.031,0.055,0.002,0.002,1.015,419
0.135,0.201,0.536,0.008,0.004,0.03,0.032,0.049,0.002,0.002,0.999,439
0.135,0.201,0.536,0.008,0.004,0.03,0.032,0.049,0.002,0.002,0.999,439
0.135,0.201,0.536,0.008,0.004,0.03,0.032,0.049,0.002,0.002,0.999,439
0.126,0.162,0.592,0.007,0.003,0.029,0.034,0.039,0.002,0.002,0.996,472
0.134,0.15,0.563,0.006,0.004,0.025,0.03,0.037,0.001,0.002,0.952,444
0.145,0.214,0.922,0.009,0.005,0.017,0.036,0.037,0.034,0.003,1.422,558
0.134,0.15,0.563,0.006,0.004,0.025,0.03,0.037,0.001,0.002,0.952,444
0.134,0.15,0.563,0.006,0.004,0.025,0.03,0.037,0.001,0.002,0.952,444
0.137,0.197,0.913,0.008,0.002,0.013,0.029,0.039,0.033,0.002,1.373,564
0.137,0.197,0.913,0.008,0.002,0.013,0.029,0.039,0.033,0.002,1.373,564
0.148,0.187,0.898,0.012,0.004,0.013,0.036,0.04,0.035,0.003,1.376,562
0.139,0.211,0.91,0.01,0.004,0.036,0.031,0.032,0.032,0.003,1.408,521
0.132,0.171,0.901,0.012,0.006,0.03,0.031,0.048,0.031,0.002,1.364,563
0.132,0.171,0.901,0.012,0.006,0.03,0.031,0.048,0.031,0.002,1.364,563
0.132,0.171,0.901,0.012,0.006,0.03,0.031,0.048,0.031,0.002,1.364,563
0.139,0.196,0.921,0.01,0.004,0.02,0.036,0.052,0.036,0.002,1.416,528
0.132,0.171,0.901,0.012,0.006,0.03,0.031,0.048,0.031,0.002,1.364,563
0.132,0.171,0.901,0.012,0.006,0.03,0.031,0.048,0.031,0.002,1.364,563
0.055,0.016,0.221,0.006,0.001,0.006,0.037,0.035,0.002,0.002,0.381,344
0.054,0.011,0.271,0.008,0.005,0.028,0.037,0.034,0.001,0.002,0.451,357
0.054,0.014,0.222,0.014,0.004,0.023,0.04,0.043,0.001,0.002,0.417,367
0.054,0.014,0.222,0.014,0.004,0.023,0.04,0.043,0.001,0.002,0.417,367
0.15,0.237,0.955,0.008,0.004,0.013,0.03,0.037,0.037,0.003,1.474,585
0.15,0.237,0.955,0.008,0.004,0.013,0.03,0.037,0.037,0.003,1.474,585
0.141,0.209,0.919,0.008,0.005,0.023,0.035,0.04,0.035,0.003,1.418,587
0.143,0.205,0.928,0.014,0.004,0.048,0.03,0.045,0.034,0.003,1.454,578
0.141,0.227,0.903,0.007,0.005,0.026,0.031,0.039,0.036,0.003,1.418,583
0.147,0.18,0.902,0.009,0.007,0.026,0.041,0.04,0.032,0.003,1.387,574
0.144,0.185,0.908,0.011,0.004,0.012,0.032,0.052,0.04,0.002,1.39,580
0.131,0.207,0.922,0.011,0.003,0.027,0.025,0.04,0.036,0.003,1.405,627
0.131,0.207,0.922,0.011,0.003,0.027,0.025,0.04,0.036,0.003,1.405,627
0.143,0.205,0.928,0.014,0.004,0.048,0.03,0.045,0.034,0.003,1.454,578
0.143,0.205,0.928,0.014,0.004,0.048,0.03,0.045,0.034,0.003,1.454,578
0.054,0.014,0.222,0.014,0.004,0.023,0.04,0.043,0.001,0.002,0.417,367
0.137,0.184,0.751,0.009,0.003,0.01,0.034,0.038,0.002,0.003,1.171,471
0.139,0.178,0.791,0.006,0.002,0.011,0.029,0.025,0.002,0.003,1.186,468
0.046,0.008,0.202,0.006,0.009,0.026,0.041,0.036,0.001,0.001,0.376,334
0.04,0.006,0.202,0.004,0.006,0.028,0.047,0.037,0.001,0.001,0.372,336
0.058,0.017,0.204,0.007,0.004,0.029,0.05,0.042,0.002,0.002,0.415,372
0.012,0.005,0.168,0.009,0.005,0.016,0.053,0.033,0.002,0.001,0.304,355
0.048,0.01,0.204,0.007,0.003,0.012,0.043,0.033,0.002,0.002,0.364,363
0.041,0.012,0.225,0.006,0.005,0.028,0.041,0.038,0.002,0.001,0.399,334
0.054,0.006,0.208,0.011,0.004,0.013,0.042,0.044,0.002,0.001,0.385,365
0.049,0.018,0.215,0.003,0.006,0.036,0.042,0.045,0.002,0.002,0.418,378
0.049,0.018,0.215,0.003,0.006,0.036,0.042,0.045,0.002,0.002,0.418,378
0.049,0.018,0.215,0.003,0.006,0.036,0.042,0.045,0.002,0.002,0.418,378
0.049,0.018,0.215,0.003,0.006,0.036,0.042,0.045,0.002,0.002,0.418,378
0.048,0.015,0.221,0.005,0.004,0.018,0.046,0.036,0.002,0.002,0.397,370
0.048,0.015,0.221,0.005,0.004,0.018,0.046,0.036,0.002,0.002,0.397,370
0.049,0.018,0.215,0.003,0.006,0.036,0.042,0.045,0.002,0.002,0.418,378
0.071,0.011,0.219,0.007,0.008,0.025,0.048,0.044,0.002,0.001,0.436,377
0.053,0.012,0.222,0.005,0.003,0.011,0.042,0.027,0.002,0.001,0.378,360
0.056,0.015,0.221,0.008,0.007,0.029,0.046,0.048,0.002,0.001,0.433,370
0.056,0.015,0.221,0.008,0.007,0.029,0.046,0.048,0.002,0.001,0.433,370
0.056,0.015,0.221,0.008,0.007,0.029,0.046,0.048,0.002,0.001,0.433,365
0.056,0.015,0.221,0.008,0.007,0.029,0.046,0.048,0.002,0.001,0.433,365
0.043,0.011,0.204,0.005,0.006,0.011,0.045,0.042,0.001,0.001,0.369,348
0.043,0.011,0.204,0.005,0.006,0.011,0.045,0.042,0.001,0.001,0.369,348
0.053,0.011,0.221,0.008,0.003,0.013,0.043,0.029,0.002,0.002,0.385,346
0.053,0.011,0.221,0.008,0.003,0.013,0.043,0.029,0.002,0.002,0.385,346
0.043,0.011,0.204,0.005,0.006,0.011,0.045,0.042,0.001,0.001,0.369,348
0.053,0.011,0.221,0.008,0.003,0.013,0.043,0.029,0.002,0.002,0.385,346
0.071,0.011,0.219,0.007,0.008,0.025,0.048,0.044,0.002,0.001,0.436,377
0.071,0.011,0.219,0.007,0.008,0.025,0.048,0.044,0.002,0.001,0.436,377
0.053,0.011,0.221,0.008,0.003,0.013,0.043,0.029,0.002,0.002,0.385,346
0.071,0.011,0.219,0.007,0.008,0.025,0.048,0.044,0.002,0.001,0.436,377
0.053,0.011,0.221,0.008,0.003,0.013,0.043,0.029,0.002,0.002,0.385,346
0.071,0.011,0.219,0.007,0.008,0.025,0.048,0.044,0.002,0.001,0.436,377
0.071,0.011,0.219,0.007,0.008,0.025,0.048,0.044,0.002,0.001,0.436,377
0.06,0.008,0.234,0.007,0.006,0.037,0.043,0.05,0.002,0.001,0.448,358
0.052,0.018,0.221,0.005,0.007,0.021,0.045,0.042,0.002,0.002,0.415,360
0.04,0.015,0.216,0.011,0.006,0.012,0.041,0.024,0.002,0.002,0.369,388
0.048,0.01,0.204,0.007,0.003,0.012,0.043,0.033,0.002,0.002,0.364,345
0.048,0.01,0.204,0.007,0.003,0.012,0.043,0.033,0.002,0.002,0.364,345
0.142,0.018,0.929,0.009,0.005,0.015,0.048,0.039,0.039,0.002,1.246,582
0.142,0.018,0.929,0.009,0.005,0.015,0.048,0.039,0.039,0.002,1.246,582
0.164,0.196,0.897,0.007,0.003,0.036,0.032,0.056,0.03,0.002,1.423,589
0.164,0.196,0.897,0.007,0.003,0.036,0.032,0.056,0.03,0.002,1.423,589
0.164,0.196,0.897,0.007,0.003,0.036,0.032,0.056,0.03,0.002,1.423,589
0.147,0.197,0.89,0.005,0.002,0.025,0.029,0.04,0.029,0.002,1.366,572
0.164,0.196,0.897,0.007,0.003,0.036,0.032,0.056,0.03,0.002,1.423,589
0.138,0.184,0.925,0.007,0.003,0.015,0.031,0.04,0.033,0.002,1.378,589
0.164,0.196,0.897,0.007,0.003,0.036,0.032,0.056,0.03,0.002,1.423,589
0.147,0.197,0.89,0.005,0.002,0.025,0.029,0.04,0.029,0.002,1.366,572
0.054,0.011,0.271,0.008,0.005,0.028,0.037,0.034,0.001,0.002,0.451,357
0.054,0.014,0.222,0.014,0.004,0.023,0.04,0.043,0.001,0.002,0.417,367
0.054,0.014,0.222,0.014,0.004,0.023,0.04,0.043,0.001,0.002,0.417,367
0.132,0.189,0.537,0.011,0.005,0.01,0.037,0.03,0.002,0.002,0.955,477
0.132,0.189,0.537,0.011,0.005,0.01,0.037,0.03,0.002,0.002,0.955,477
0.132,0.157,0.552,0.007,0.004,0.009,0.031,0.05,0.001,0.002,0.945,443
0.136,0.19,0.562,0.01,0.007,0.011,0.037,0.034,0.002,0.003,0.992,451
0.128,0.151,0.543,0.01,0.007,0.027,0.039,0.05,0.003,0.002,0.96,456
0.14,0.179,0.54,0.012,0.007,0.024,0.032,0.04,0.003,0.002,0.979,458
0.138,0.199,0.552,0.009,0.005,0.019,0.034,0.041,0.003,0.003,1.003,452
0.138,0.199,0.552,0.009,0.005,0.019,0.034,0.041,0.003,0.003,1.003,452
0.13,0.142,0.567,0.006,0.004,0.014,0.031,0.043,0.002,0.002,0.941,438
0.138,0.199,0.552,0.009,0.005,0.019,0.034,0.041,0.003,0.003,1.003,452
0.138,0.199,0.552,0.009,0.005,0.019,0.034,0.041,0.003,0.003,1.003,452
